,trade_dt,code,open,high,low,close,volume,amount
0,2005-01-04,sh.600000,6.9800,6.9800,6.8200,6.8800,3808939,26134943.0000
1,2005-01-05,sh.600000,6.8800,6.8800,6.7200,6.7700,5225244,35366812.0000
2,2005-01-06,sh.600000,6.8000,6.8300,6.6300,6.6800,4298099,28758188.0000
3,2005-01-07,sh.600000,6.6800,6.7600,6.6500,6.7000,4362864,29239203.0000
4,2005-01-10,sh.600000,6.8000,6.9500,6.7300,6.9300,7115260,48798404.0000
5,2005-01-11,sh.600000,6.9300,7.0200,6.9000,7.0100,6895175,48039155.0000
6,2005-01-12,sh.600000,7.0200,7.0300,6.9100,6.9700,2797449,19447653.0000
7,2005-01-13,sh.600000,6.9500,7.0200,6.9400,6.9600,1284827,8976785.0000
8,2005-01-14,sh.600000,6.9600,7.0800,6.9000,6.9200,1731048,12108769.0000
9,2005-01-17,sh.600000,6.9000,6.9200,6.7900,6.8000,2620773,17915004.0000
10,2005-01-18,sh.600000,6.8000,6.8800,6.7300,6.8800,1595810,10850994.0000
11,2005-01-19,sh.600000,6.8800,6.8800,6.7600,6.7800,1029390,7012405.0000
12,2005-01-20,sh.600000,6.7500,6.7800,6.6500,6.7200,2110578,14179068.0000
13,2005-01-21,sh.600000,6.7200,7.3900,6.7000,7.3900,41373685,301114578.0000
14,2005-01-24,sh.600000,7.6700,7.7600,7.4200,7.6500,46750809,354408749.0000
15,2005-01-25,sh.600000,7.5500,7.5600,7.3600,7.4700,26795282,199832479.0000
16,2005-01-26,sh.600000,7.4700,7.5900,7.3800,7.4200,16230795,121820602.0000
17,2005-01-27,sh.600000,7.3900,7.5100,7.2500,7.3000,10807964,79769208.0000
18,2005-01-28,sh.600000,7.2800,7.4600,7.2100,7.4400,10411141,76324984.0000
19,2005-01-31,sh.600000,7.4000,7.4400,7.2800,7.3700,7662588,56486895.0000
20,2005-02-01,sh.600000,7.3600,7.5600,7.3200,7.5000,11425747,85592035.0000
21,2005-02-02,sh.600000,7.5000,7.9500,7.4600,7.8800,23907135,185036797.0000
22,2005-02-03,sh.600000,7.8800,7.9000,7.6300,7.6600,13777103,107341372.0000
23,2005-02-04,sh.600000,7.6600,8.3000,7.6000,8.1200,24170398,193803658.0000
24,2005-02-16,sh.600000,8.1600,8.2800,8.0100,8.0400,12718644,103754859.0000
25,2005-02-17,sh.600000,8.0400,8.0400,7.8000,7.8700,11567381,91256499.0000
26,2005-02-18,sh.600000,7.8800,7.9600,7.7500,7.8000,8091909,63433347.0000
27,2005-02-21,sh.600000,7.9500,8.1200,7.8500,8.0700,16836948,135085473.0000
28,2005-02-22,sh.600000,8.0700,8.1800,7.9900,8.1100,10303731,83261350.0000
29,2005-02-23,sh.600000,8.1100,8.1100,7.8800,7.9100,15373692,122679639.0000
30,2005-02-24,sh.600000,7.9000,8.0300,7.8400,7.8800,10186950,80685429.0000
31,2005-02-25,sh.600000,7.9500,8.1100,7.9000,7.9700,11473412,92202704.0000
32,2005-02-28,sh.600000,7.9500,7.9500,7.6600,7.7400,17437898,134889710.0000
33,2005-03-01,sh.600000,7.7500,7.7500,7.5700,7.6200,10923806,83419920.0000
34,2005-03-02,sh.600000,7.6200,7.7200,7.5500,7.6000,8816526,67194470.0000
35,2005-03-03,sh.600000,7.6000,7.7400,7.5800,7.7300,6280369,48212865.0000
36,2005-03-04,sh.600000,7.7300,7.7400,7.6100,7.6600,5081789,38936484.0000
37,2005-03-07,sh.600000,7.6200,7.7100,7.6000,7.6500,2820119,21550382.0000
38,2005-03-08,sh.600000,7.6900,7.8100,7.5000,7.7800,13132370,100581889.0000
39,2005-03-09,sh.600000,7.7800,7.8000,7.5500,7.5700,13185015,100633602.0000
40,2005-03-10,sh.600000,7.6000,7.6600,7.4000,7.4500,8327402,62900907.0000
41,2005-03-11,sh.600000,7.4500,7.5400,7.3800,7.4100,5857911,43556308.0000
42,2005-03-14,sh.600000,7.4200,7.4500,7.2500,7.3700,7078072,52037534.0000
43,2005-03-15,sh.600000,7.3800,7.4000,7.1300,7.1600,7673443,55396382.0000
44,2005-03-16,sh.600000,7.1600,7.2200,7.1300,7.1600,5149329,36970616.0000
45,2005-03-17,sh.600000,7.1800,7.2700,7.1300,7.1300,6391094,46011353.0000
46,2005-03-18,sh.600000,7.1300,7.2700,7.1200,7.1900,5324245,38311019.0000
47,2005-03-21,sh.600000,7.2000,7.2800,7.1600,7.2400,3563612,25778043.0000
48,2005-03-22,sh.600000,7.2400,7.2400,6.8300,6.8400,8944807,62292167.0000
49,2005-03-23,sh.600000,6.8400,7.0100,6.7800,6.9100,7414511,51033624.0000
50,2005-03-24,sh.600000,6.9100,6.9500,6.8100,6.9100,3545568,24397976.0000
51,2005-03-25,sh.600000,6.9100,6.9400,6.8200,6.8600,3001194,20615658.0000
52,2005-03-28,sh.600000,6.8600,6.9000,6.7900,6.9000,2939536,20095113.0000
53,2005-03-29,sh.600000,6.9000,7.0100,6.9000,6.9200,3402241,23714038.0000
54,2005-03-30,sh.600000,6.9200,6.9300,6.7400,6.7500,4291345,29186661.0000
55,2005-03-31,sh.600000,6.7300,6.9300,6.7000,6.9200,3931193,26732458.0000
56,2005-04-01,sh.600000,6.9200,7.4000,6.8300,7.2400,11241105,79699703.0000
57,2005-04-04,sh.600000,7.0500,7.1100,6.9600,7.0000,6307488,44421244.0000
58,2005-04-05,sh.600000,7.0000,7.0500,6.9600,7.0200,2592209,18154521.0000
59,2005-04-06,sh.600000,7.0000,7.2000,6.8500,7.1900,8359947,58954003.0000
60,2005-04-07,sh.600000,7.2000,7.7400,7.1600,7.4000,19389902,144194862.0000
61,2005-04-08,sh.600000,7.4000,7.5800,7.3200,7.5200,9944030,74082481.0000
62,2005-04-11,sh.600000,7.5300,7.7100,7.4200,7.4900,13710959,103726958.0000
63,2005-04-12,sh.600000,7.4800,7.5000,7.3600,7.3800,6487965,48161072.0000
64,2005-04-13,sh.600000,7.4000,7.6900,7.4000,7.4800,9362555,70623287.0000
65,2005-04-14,sh.600000,7.4800,7.5400,7.3300,7.3500,5557779,41433005.0000
66,2005-04-15,sh.600000,7.2800,7.3000,7.1400,7.2600,5800936,41724880.0000
67,2005-04-18,sh.600000,7.1500,7.2500,7.0900,7.1400,5018412,35882240.0000
68,2005-04-19,sh.600000,7.1100,7.2200,7.1100,7.2100,6236536,44708509.0000
69,2005-04-20,sh.600000,7.1900,7.1900,6.8700,6.9100,7575599,52688938.0000
70,2005-04-21,sh.600000,6.9100,7.0000,6.8900,6.9200,3752665,26042544.0000
71,2005-04-22,sh.600000,6.8800,6.9900,6.8500,6.9600,5556212,38544360.0000
72,2005-04-25,sh.600000,6.9100,7.0400,6.9000,7.0000,5392059,37610599.0000
73,2005-04-26,sh.600000,7.0000,7.1100,6.9700,7.0400,3460699,24307854.0000
74,2005-04-27,sh.600000,7.0400,7.0400,7.0400,7.0400,0,0.0000
75,2005-04-28,sh.600000,6.9500,6.9500,6.6000,6.8700,9931767,67456888.0000
76,2005-04-29,sh.600000,6.8600,7.2000,6.8000,7.0200,9139436,64085407.0000
77,2005-05-09,sh.600000,7.0900,7.1000,6.8900,6.9000,4408800,30718633.0000
78,2005-05-10,sh.600000,6.9000,7.1000,6.8900,7.0400,4906741,34352596.0000
79,2005-05-11,sh.600000,7.0500,7.1700,7.0100,7.0600,5528335,39284904.0000
80,2005-05-12,sh.600000,7.0500,7.0500,6.8200,6.8200,5417447,37299138.0000
81,2005-05-13,sh.600000,6.8000,6.9600,6.7500,6.8600,3851960,26414086.0000
82,2005-05-16,sh.600000,6.8500,6.9300,6.7600,6.8800,2142917,14681296.0000
83,2005-05-17,sh.600000,6.8800,7.0400,6.8300,6.9400,2998401,20854795.0000
84,2005-05-18,sh.600000,7.0000,7.0200,6.8400,6.9000,3810065,26305774.0000
85,2005-05-19,sh.600000,6.9100,7.0600,6.8800,7.0400,3516137,24514513.0000
86,2005-05-20,sh.600000,7.0500,7.0600,6.9500,6.9600,2262277,15856621.0000
87,2005-05-23,sh.600000,6.9600,6.9600,6.7500,6.8100,6916601,47395137.0000
88,2005-05-24,sh.600000,6.7700,6.8900,6.7600,6.8500,3153400,21545402.0000
89,2005-05-25,sh.600000,6.8800,6.9600,6.8000,6.8200,3138564,21502729.0000
90,2005-05-26,sh.600000,6.8300,6.8800,6.7000,6.7400,3225307,21877983.0000
91,2005-05-27,sh.600000,6.7400,6.8200,6.6600,6.7000,2640297,17811006.0000
92,2005-05-30,sh.600000,6.7000,6.8000,6.6200,6.7900,1925565,12963385.0000
93,2005-05-31,sh.600000,6.7900,6.8300,6.6800,6.7000,2830609,19085274.0000
94,2005-06-01,sh.600000,6.7000,6.7400,6.5500,6.5900,3505447,23185315.0000
95,2005-06-02,sh.600000,6.5800,6.6500,6.4100,6.4800,6671163,43401317.0000
96,2005-06-03,sh.600000,6.4600,6.6900,6.4600,6.6000,5352560,35349800.0000
97,2005-06-06,sh.600000,6.5900,6.7200,6.5000,6.6800,2844598,18798751.0000
98,2005-06-07,sh.600000,6.7000,6.8000,6.6100,6.6600,3411887,22862994.0000
99,2005-06-08,sh.600000,7.3300,7.3300,6.6900,7.1800,15688482,111514627.0000
100,2005-06-09,sh.600000,7.1800,7.2500,7.0200,7.1200,13193641,93936972.0000
101,2005-06-10,sh.600000,7.1200,7.3700,7.0600,7.1700,15026148,108637646.0000
