,code,trade_dt,close
1711,CI005001,2007-04-04,2389.6508
1712,CI005002,2007-04-04,1415.526
1713,CI005003,2007-04-04,3770.9943
1714,CI005004,2007-04-04,1860.9737
1715,CI005005,2007-04-04,2229.0322
1716,CI005006,2007-04-04,2411.6203
1717,CI005007,2007-04-04,2138.8195
1718,CI005008,2007-04-04,2622.9054
1719,CI005009,2007-04-04,1862.6877
1720,CI005010,2007-04-04,2998.5116
1721,CI005011,2007-04-04,2594.5435
1722,CI005012,2007-04-04,3314.3205
1723,CI005013,2007-04-04,2540.7819
1724,CI005014,2007-04-04,3223.2946
1725,CI005015,2007-04-04,2597.942
1726,CI005016,2007-04-04,2044.9987
1727,CI005017,2007-04-04,2148.0781
1728,CI005018,2007-04-04,2309.9495
1729,CI005019,2007-04-04,3413.4173
1730,CI005020,2007-04-04,2471.3493
1731,CI005021,2007-04-04,3597.2261
1732,CI005022,2007-04-04,5292.388
1733,CI005023,2007-04-04,3055.3447
1734,CI005024,2007-04-04,1947.8411
1735,CI005025,2007-04-04,1735.3
1736,CI005026,2007-04-04,1780.2938
1737,CI005027,2007-04-04,1581.2852
1738,CI005028,2007-04-04,2192.8282
1739,CI005029,2007-04-04,2257.8832
1740,CI005001,2007-04-05,2398.4894
1741,CI005002,2007-04-05,1431.2104
1742,CI005003,2007-04-05,3815.8409
1743,CI005004,2007-04-05,1899.0178
1744,CI005005,2007-04-05,2256.9716
1745,CI005006,2007-04-05,2444.9857
1746,CI005007,2007-04-05,2160.9879
1747,CI005008,2007-04-05,2715.4345
1748,CI005009,2007-04-05,1886.5789
1749,CI005010,2007-04-05,3033.2434
1750,CI005011,2007-04-05,2617.9185
1751,CI005012,2007-04-05,3336.7446
1752,CI005013,2007-04-05,2557.8969
1753,CI005014,2007-04-05,3277.0372
1754,CI005015,2007-04-05,2616.4271
1755,CI005016,2007-04-05,2064.997
1756,CI005017,2007-04-05,2198.2575
1757,CI005018,2007-04-05,2358.2789
1758,CI005019,2007-04-05,3424.47
1759,CI005020,2007-04-05,2526.5775
1760,CI005021,2007-04-05,3594.9605
1761,CI005022,2007-04-05,5492.4716
1762,CI005023,2007-04-05,3099.1689
1763,CI005024,2007-04-05,1994.2533
1764,CI005025,2007-04-05,1766.9167
1765,CI005026,2007-04-05,1772.2757
1766,CI005027,2007-04-05,1584.5081
1767,CI005028,2007-04-05,2210.1072
1768,CI005029,2007-04-05,2315.8009
1769,CI005001,2007-04-06,2401.5989
1770,CI005002,2007-04-06,1488.5352
1771,CI005003,2007-04-06,3935.6612
1772,CI005004,2007-04-06,1937.625
1773,CI005005,2007-04-06,2254.3636
1774,CI005006,2007-04-06,2475.8745
1775,CI005007,2007-04-06,2191.8084
1776,CI005008,2007-04-06,2762.5003
1777,CI005009,2007-04-06,1903.9157
1778,CI005010,2007-04-06,3078.1225
1779,CI005011,2007-04-06,2662.6951
1780,CI005012,2007-04-06,3337.7126
1781,CI005013,2007-04-06,2593.5345
1782,CI005014,2007-04-06,3345.6657
1783,CI005015,2007-04-06,2624.954
1784,CI005016,2007-04-06,2082.0214
1785,CI005017,2007-04-06,2241.5666
1786,CI005018,2007-04-06,2406.7447
1787,CI005019,2007-04-06,3449.9907
1788,CI005020,2007-04-06,2555.9677
1789,CI005021,2007-04-06,3531.2531
1790,CI005022,2007-04-06,5521.0317
1791,CI005023,2007-04-06,3147.7628
1792,CI005024,2007-04-06,2002.131
1793,CI005025,2007-04-06,1796.1639
1794,CI005026,2007-04-06,1785.5973
1795,CI005027,2007-04-06,1618.3301
1796,CI005028,2007-04-06,2211.7222
1797,CI005029,2007-04-06,2357.4438
1798,CI005001,2007-04-09,2452.7019
1799,CI005002,2007-04-09,1517.3712
1800,CI005003,2007-04-09,4072.545
1801,CI005004,2007-04-09,1973.4101
1802,CI005005,2007-04-09,2337.2137
1803,CI005006,2007-04-09,2509.9991
1804,CI005007,2007-04-09,2281.3911
1805,CI005008,2007-04-09,2820.0743
1806,CI005009,2007-04-09,1930.4593
1807,CI005010,2007-04-09,3142.7006
1808,CI005011,2007-04-09,2703.6801
1809,CI005012,2007-04-09,3396.2581
1810,CI005013,2007-04-09,2648.8329
1811,CI005014,2007-04-09,3395.09
1812,CI005015,2007-04-09,2679.854
1813,CI005016,2007-04-09,2114.5661
1814,CI005017,2007-04-09,2294.7425
1815,CI005018,2007-04-09,2450.3471
1816,CI005019,2007-04-09,3563.9261
1817,CI005020,2007-04-09,2623.6656
1818,CI005021,2007-04-09,3562.9545
1819,CI005022,2007-04-09,5719.3426
1820,CI005023,2007-04-09,3184.6477
1821,CI005024,2007-04-09,2034.0553
1822,CI005025,2007-04-09,1834.1501
1823,CI005026,2007-04-09,1801.1051
1824,CI005027,2007-04-09,1666.3785
1825,CI005028,2007-04-09,2255.3256
1826,CI005029,2007-04-09,2400.6653
1827,CI005001,2007-04-10,2466.3351
1828,CI005002,2007-04-10,1536.4059
1829,CI005003,2007-04-10,4324.8456
1830,CI005004,2007-04-10,1985.6732
1831,CI005005,2007-04-10,2435.3561
1832,CI005006,2007-04-10,2528.9305
1833,CI005007,2007-04-10,2355.7866
1834,CI005008,2007-04-10,2905.8664
1835,CI005009,2007-04-10,1940.8354
1836,CI005010,2007-04-10,3176.4409
1837,CI005011,2007-04-10,2715.7477
1838,CI005012,2007-04-10,3453.1385
1839,CI005013,2007-04-10,2685.9762
1840,CI005014,2007-04-10,3413.8497
1841,CI005015,2007-04-10,2667.5979
1842,CI005016,2007-04-10,2147.1487
1843,CI005017,2007-04-10,2333.4333
1844,CI005018,2007-04-10,2454.1764
1845,CI005019,2007-04-10,3559.4608
1846,CI005020,2007-04-10,2617.1976
1847,CI005021,2007-04-10,3658.6414
1848,CI005022,2007-04-10,5788.174
1849,CI005023,2007-04-10,3189.7621
1850,CI005024,2007-04-10,2028.9608
1851,CI005025,2007-04-10,1871.0934
1852,CI005026,2007-04-10,1800.1492
1853,CI005027,2007-04-10,1659.7663
1854,CI005028,2007-04-10,2275.5528
1855,CI005029,2007-04-10,2404.1677
1856,CI005001,2007-04-11,2543.7821
1857,CI005002,2007-04-11,1530.0257
1858,CI005003,2007-04-11,4444.3747
1859,CI005004,2007-04-11,1996.1151
1860,CI005005,2007-04-11,2462.563
1861,CI005006,2007-04-11,2578.7432
1862,CI005007,2007-04-11,2436.4341
1863,CI005008,2007-04-11,2902.9289
1864,CI005009,2007-04-11,1968.2094
1865,CI005010,2007-04-11,3195.2527
1866,CI005011,2007-04-11,2738.2951
1867,CI005012,2007-04-11,3450.8312
1868,CI005013,2007-04-11,2702.3148
1869,CI005014,2007-04-11,3436.6998
1870,CI005015,2007-04-11,2663.1614
1871,CI005016,2007-04-11,2132.5092
1872,CI005017,2007-04-11,2359.5554
1873,CI005018,2007-04-11,2506.4029
1874,CI005019,2007-04-11,3548.0318
1875,CI005020,2007-04-11,2651.9793
1876,CI005021,2007-04-11,3772.2541
1877,CI005022,2007-04-11,5765.4618
1878,CI005023,2007-04-11,3247.5074
1879,CI005024,2007-04-11,2059.0732
1880,CI005025,2007-04-11,1893.1837
1881,CI005026,2007-04-11,1838.1189
1882,CI005027,2007-04-11,1657.2456
1883,CI005028,2007-04-11,2280.5916
1884,CI005029,2007-04-11,2441.3917
1885,CI005001,2007-04-12,2582.4155
1886,CI005002,2007-04-12,1579.2487
1887,CI005003,2007-04-12,4571.5791
1888,CI005004,2007-04-12,2062.8855
1889,CI005005,2007-04-12,2460.6001
1890,CI005006,2007-04-12,2650.8096
1891,CI005007,2007-04-12,2499.3374
1892,CI005008,2007-04-12,2952.5914
1893,CI005009,2007-04-12,2013.4455
1894,CI005010,2007-04-12,3293.741
1895,CI005011,2007-04-12,2799.8798
1896,CI005012,2007-04-12,3558.1483
1897,CI005013,2007-04-12,2751.0212
1898,CI005014,2007-04-12,3500.3266
1899,CI005015,2007-04-12,2710.1532
1900,CI005016,2007-04-12,2196.1896
1901,CI005017,2007-04-12,2411.1686
1902,CI005018,2007-04-12,2554.3278
1903,CI005019,2007-04-12,3697.845
1904,CI005020,2007-04-12,2682.6537
1905,CI005021,2007-04-12,3786.9809
1906,CI005022,2007-04-12,5786.5609
1907,CI005023,2007-04-12,3303.7315
1908,CI005024,2007-04-12,2105.3732
1909,CI005025,2007-04-12,1953.0208
1910,CI005026,2007-04-12,1847.0808
1911,CI005027,2007-04-12,1689.9018
1912,CI005028,2007-04-12,2402.8239
1913,CI005029,2007-04-12,2477.8706
1914,CI005001,2007-04-13,2624.8398
1915,CI005002,2007-04-13,1563.3371
1916,CI005003,2007-04-13,4446.6552
1917,CI005004,2007-04-13,2054.3571
1918,CI005005,2007-04-13,2404.5602
1919,CI005006,2007-04-13,2643.2828
1920,CI005007,2007-04-13,2517.9622
1921,CI005008,2007-04-13,2974.4981
1922,CI005009,2007-04-13,2002.0246
1923,CI005010,2007-04-13,3299.7783
1924,CI005011,2007-04-13,2776.8181
1925,CI005012,2007-04-13,3684.794
1926,CI005013,2007-04-13,2742.603
1927,CI005014,2007-04-13,3541.1292
1928,CI005015,2007-04-13,2709.0465
1929,CI005016,2007-04-13,2194.053
1930,CI005017,2007-04-13,2374.1943
1931,CI005018,2007-04-13,2554.0731
1932,CI005019,2007-04-13,3842.4775
1933,CI005020,2007-04-13,2659.4747
1934,CI005021,2007-04-13,3737.1662
1935,CI005022,2007-04-13,5755.4023
1936,CI005023,2007-04-13,3281.4089
1937,CI005024,2007-04-13,2109.9555
1938,CI005025,2007-04-13,1911.4841
1939,CI005026,2007-04-13,1833.2557
1940,CI005027,2007-04-13,1707.0187
1941,CI005028,2007-04-13,2379.6478
1942,CI005029,2007-04-13,2515.2833
1943,CI005001,2007-04-16,2652.291
